org_id	org_short	org_long	cont
-1	NONE	NO ORG	 
0	UNKNOWN	ORG UNKNOWN	 
1	FSO	C OF S FLAG SERVICE ORG	FSO
2	AOLA	C OF S AOLA	SO
3	AOSHANZO	C OF S AOSH ANZO	SO
4	AOSHEU	C OF S AOSH EU	SO
5	AOSHUK	C OF S AOSH UK	SO
6	ASHOD	C OF S ASHO DAY	SO
7	ASHOF	C OF S ASHO FDN	SO
8	EDM	C OF S EDMONTON	CAN
9	KIT	C OF S KITCHENER	CAN
10	MTL	C OF S MONTREAL	CAN
11	OTT	C OF S OTTAWA	CAN
12	QBC	C OF S QUEBEC	CAN
13	TORD	C OF S TORONTO DAY	CAN
14	TORF	C OF S TORONTO FDN	CAN
15	VAND	C OF S VANCOUVER DAY	CAN
16	VANF	C OF S VANCOUVER FDN	CAN
17	WPG	C OF S WINNIPEG	CAN
18	LAD	C OF S LOS ANGELES DAY	WUS
19	DCD	FND C OF S WASHINGTON	EUS
20	ALB	C OF S ALBUQUERQUE	WUS
21	ASTD	C OF S AUSTIN DAY	WUS
22	ASTF	C OF S AUSTIN FDN	WUS
23	DVR	C OF S DENVER	WUS
24	HAWD	C OF S HAWAII DAY	WUS
25	HAWF	C OF S HAWAII FDN	WUS
26	LAF	C OF S LOS ANGELES FDN	WUS
27	LVD	C OF S LAS VEGAS DAY	WUS
28	LVF	C OF S LAS VEGAS FDN	WUS
29	OCD	C OF S ORANGE COUNTY	WUS
30	PASA	C OF S PASADENA	WUS
31	PHX	C OF S PHOENIX	WUS
32	PTLD	C OF S PORTLAND DAY	WUS
33	PTLF	C OF S PORTLAND FDN	WUS
34	SAC	C OF S SACRAMENTO	WUS
35	SD	C OF S SAN DIEGO	WUS
36	SEAD	C OF S SEATTLE DAY	WUS
37	SEAF	C OF S SEATTLE FDN	WUS
38	SFOD	C OF S SAN FRANCISCO DAY	WUS
39	SFOF	C OF S SAN FRANCISCO FDN	WUS
40	SNC	C OF S STEVENS CREEK	WUS
41	STB	C OF S SANTA BARBARA	WUS
42	STL	C OF S SAINT LOUIS	WUS
43	TCD	C OF S TWIN CITIES DAY	WUS
44	TCF	C OF S TWIN CITIES FDN	WUS
45	VLY	C OF S VALLEY	WUS
46	DCF	FND C OF S WASHINGTON	EUS
47	AA	C OF S ANN ARBOR	EUS
48	BSND	C OF S BOSTON DAY	EUS
49	BSNF	C OF S BOSTON FDN	EUS
50	BUFF	C OF S BUFFALO	EUS
51	CHI	C OF S CHICAGO	EUS
52	CINN	C OF S CINCINNATI	EUS
53	COL	C OF S COLUMBUS	EUS
54	DETD	C OF S DETROIT DAY	EUS
55	DETF	C OF S DETROIT FDN	EUS
56	KC	C OF S KANSAS CITY	EUS
57	LONG	C OF S LONG ISLAND	EUS
58	MM	C OF S MIAMI	EUS
59	NH	C OF S NEW HAVEN	EUS
60	NYD	C OF S NEW YORK DAY	EUS
61	NYF	C OF S NEW YORK FDN	EUS
62	ORL	C OF S ORLANDO	EUS
63	PHIL	C OF S PHILADELPHIA	EUS
64	TPA	C OF S TAMPA	EUS
65	BHMD	C OF S BIRMINGHAM	UK
66	HAPI	C OF S HAPI	UK
67	LDND	C OF S LONDON DAY	UK
68	LDNF	C OF S LONDON FDN	UK
69	MAN	C OF S MANCHESTER	UK
70	PLY	C OF S PLYMOUTH	UK
71	SHF	SAINT HILL FDN	SO
72	SUND	C OF S SUNDERLAND	UK
76	CCNY	C OF S CC NEW YORK	CC
78	CCLV	C OF S CC LAS VEGAS	CC
79	CCINT	C OF S CC INTERNATIONAL	CC
80	ACT	ACT	ANZO
81	ADED	C OF S ADELAIDE DAY	ANZO
